frame,id,lon,lat
3,1.0,106.53459668995662,29.721950355520505
3,2.0,106.52901494147889,29.71905078072916
6,2.0,106.52901752538395,29.719050750883167
9,2.0,106.52900647540281,29.7190463668435
12,2.0,106.52906114772853,29.719072805378598
15,2.0,106.52907807989041,29.719081633141986
18,2.0,106.52908912987833,29.719086017175396
21,2.0,106.52909303993144,29.719088227846463
24,2.0,106.52909368590792,29.719088220384574
27,2.0,106.52904683366812,29.719066203208698
30,2.0,106.52904163166416,29.719064007459455
33,2.0,106.52905268164868,29.719068391496055
33,8.0,106.53501315635866,29.7224418098032
36,2.0,106.52908005201373,29.719083866198854
36,8.0,106.53501570601199,29.72243952440218
39,2.0,106.52908263591956,29.719083836351555
39,8.0,106.53502094264414,29.72244397533951
39,10.0,106.53505448473187,29.722567657164053
42,2.0,106.52908457384895,29.719083813966055
42,8.0,106.53501176137257,29.72243505848159
42,10.0,106.5350584293786,29.722572123083033
45,2.0,106.5290422776405,29.71906399999783
45,8.0,106.53500907439452,29.722428322142967
45,10.0,106.5350590410431,29.722569860156455
48,2.0,106.52899930127988,29.71904193803446
48,10.0,106.53505774904914,29.72256987514001
51,2.0,106.52930917986976,29.719196266988295
51,10.0,106.53504645811076,29.72254970358645
54,2.0,106.5294231151081,29.71925360241121
54,10.0,106.53503527017274,29.7225362983362
57,2.0,106.52946673762497,29.719275656766005
57,10.0,106.53503792282375,29.722540779239186
60,2.0,106.52948234369634,29.7192822439606
63,2.0,106.52949540006264,29.719291116450652
66,2.0,106.5294797597859,29.719282273815875
69,2.0,106.52947782185308,29.71928229620729
72,2.0,106.52948887187921,29.719286680205805
75,2.0,106.52943678324094,29.719260212002
78,2.0,106.52946479969225,29.719275679157228
78,11.0,106.53492440831634,29.72238418731223
81,2.0,106.52943940135312,29.71926243758945
81,11.0,106.53491716504602,29.722375247973915
84,2.0,106.52945891748867,29.719271235447064
84,11.0,106.53491515840071,29.722370759577007
87,2.0,106.52946282755674,29.719273446106605
87,11.0,106.53491250575986,29.722366278671092
87,14.0,106.5350853272521,29.722598881134555
90,2.0,106.52951229809358,29.719297688713763
90,11.0,106.53490458216753,29.722355091387975
90,14.0,106.53507546563033,29.722587716339106
93,2.0,106.52950967997891,29.719295463127857
93,11.0,106.53490325584752,29.722352850934882
93,14.0,106.53506883399582,29.722576514083723
96,2.0,106.52950056788394,29.719291056739433
96,11.0,106.5348986308923,29.722346137066506
96,14.0,106.53505631972551,29.722560868384367
99,2.0,106.52947646149163,29.71927780025126
99,11.0,106.53489006130762,29.72233495727331
99,14.0,106.53504115280772,29.722540741780797
102,2.0,106.5297727759533,29.719432284802103
102,11.0,106.53488737434057,29.722328220931736
102,14.0,106.53501547829214,29.72250945786626
105,2.0,106.52988477377313,29.719489642202536
105,11.0,106.53488013107768,29.722319281591062
105,14.0,106.53502401357444,29.722518382215174
108,2.0,106.52992775050946,29.719511703863198
108,11.0,106.53487550612562,29.722312567721723
108,14.0,106.53501802794707,29.72250717246516
111,2.0,106.52991863837758,29.719507297505046
111,11.0,106.53486822853709,29.72230137294521
111,14.0,106.53501472930132,29.722502699053233
114,2.0,106.52990299803164,29.719498454923084
114,11.0,106.5348609852779,29.72229243360332
114,14.0,106.5350101043315,29.722495985189404
117,2.0,106.52985158937075,29.719474234866563
117,11.0,106.5348556800056,29.722283471788828
120,2.0,106.52981772478861,29.719456579545977
120,11.0,106.53485173537948,29.722279005862887
120,14.0,106.53499429143669,29.722475866071115
123,2.0,106.52977212997482,29.719432292267367
123,11.0,106.53484316580592,29.722267826066158
123,14.0,106.53498439550665,29.722462445832985
126,2.0,106.52979623644137,29.71944554869868
126,11.0,106.53483265824919,29.72225666874062
126,14.0,106.5349817428602,29.722457964928704
129,2.0,106.52962106573227,29.71935508366899
129,11.0,106.534822762363,29.722243248488432
129,14.0,106.53497449957933,29.722449025593992
132,2.0,106.52947132787394,29.71928011540334
132,11.0,106.53481749142347,29.722236542107286
132,14.0,106.53496854829211,29.722440071276225
135,2.0,106.529358684534,29.7192227650978
